Channel,Partner,Mature,Language,Date Created,Total Followers,Total Views,Average Viewers,Average Stream Duration,Game 1,Game 2,Game 3
녹두로 (nokduro),True,False,Korean,22nd Oct 2016,173388,12787789,5576,7.3,Fall Guys,Super Mario Maker 2,Dead by Daylight
RiotGamesRU,True,False,Russian,13th Oct 2014,175045,34803907,36568,4.1,League of Legends,,
ElcanaldeJoaco,True,True,Spanish,16th Apr 2019,861382,5592094,19230,3.9,Just Chatting,Fall Guys,
Chess,True,False,English,6th Aug 2009,346009,150524299,5504,3.3,Chess,,
SypherPK,True,False,English,14th Jul 2012,3668243,71403384,4812,7.5,Call of Duty: Modern Warfare,Fortnite,Fall Guys
uzra,True,False,Chinese,8th Apr 2010,186243,67901625,4054,6.3,Hearthstone,Dead by Daylight,Fall Guys
ops1x,True,False,English,12th Dec 2017,305260,3978880,3676,9.0,Fortnite,Just Chatting,Unlisted on Twitch
Castro_1021,True,False,English,24th Nov 2013,2418025,91292770,7660,5.2,Fall Guys,FIFA 20,Just Chatting
Xayoo_,True,False,Polish,18th Nov 2015,585698,36281489,9287,9.6,League of Legends,Counter-Strike: Global Offensive,Just Chatting
JohnPitterTV,True,False,Portuguese,28th Dec 2012,292780,25239905,1433,89.9,Counter-Strike: Global Offensive,Just Chatting,Poker
mch_AGG,True,True,Portuguese,24th Nov 2014,222711,16211511,1445,39.4,VALORANT,Counter-Strike: Global Offensive,Fall Guys
Nightblue3,True,False,English,21st Dec 2011,2643651,233853546,6148,7.9,League of Legends,,
ybicanoooobov,True,False,Russian,14th Aug 2014,529080,60799710,6156,6.4,Dota 2,,
RATIRL,True,True,English,20th Feb 2014,428545,20756660,4253,4.5,League of Legends,Just Chatting,Call of Duty: Modern Warfare
LITkillah,True,False,Spanish,8th Jun 2020,636512,2592664,9184,4.6,Grand Theft Auto V,Just Chatting,Fall Guys
김도 (kimdoe),True,True,Korean,23rd Sep 2015,287844,42535320,4505,9.0,Sea of Thieves,Buried Stars,EA Sports UFC 4
Faker,True,False,Korean,16th Jul 2007,2739923,90535463,35175,3.1,League of Legends,,
MuTeX,True,True,English,7th Aug 2015,214137,3361128,4071,6.8,Call of Duty: Modern Warfare,Fall Guys,
Conterstine,True,False,Spanish,7th Oct 2013,404376,5730800,5802,5.7,Minecraft,Fall Guys,Just Chatting
RatedEpicz,True,True,English,16th Oct 2013,136634,9166309,4051,9.0,Grand Theft Auto V,Fall Guys,Rogue Company
relaxing234,True,False,Chinese,14th Dec 2011,261962,21732704,9556,4.1,League of Legends,Just Chatting,
ThomeFN,True,False,Portuguese,5th Feb 2018,177826,3596971,4169,5.2,Fortnite,Just Chatting,Secret Neighbor
Gotaga,True,False,French,17th Aug 2011,2411940,115991477,7756,6.8,Call of Duty: Modern Warfare,Rogue Company,Raid: Shadow Legends
MarkitoNavaja,True,True,Spanish,20th Feb 2020,712976,3704707,13280,3.9,Just Chatting,Slots,Fall Guys
Kamet0,True,False,French,30th Dec 2011,570529,33292465,6203,5.7,Just Chatting,Rocket League,Among Us
FaZe,True,False,English,26th Feb 2011,242127,5373950,22667,8.0,VALORANT,Call of Duty: Modern Warfare,
Greekgodx,True,True,English,5th Sep 2010,1289186,48734605,4852,5.2,Just Chatting,VALORANT,Fall Guys
蝦愛橘子 (shuteye_orange),True,True,Chinese,2nd Oct 2011,85445,33525125,2420,12.9,Just Chatting,Fall Guys,Dead by Daylight
wtcN,True,True,Turkish,22nd Nov 2013,1873588,81760359,13461,3.8,Just Chatting,Fall Guys,VALORANT
dogdog,True,False,English,16th Apr 2014,595093,54129796,6171,6.0,Hearthstone,Chess,Legends of Runeterra
우왁굳 (woowakgood),True,False,Korean,15th Sep 2013,596271,47364159,4107,7.5,Just Chatting,VALORANT,F1 2020
39daph,True,False,English,17th Jun 2017,523997,9860152,6017,6.0,Art,Among Us,Assassin
lilypichu,True,False,English,6th Jun 2012,1384357,35852988,11078,4.3,Among Us,Just Chatting,League of Legends
RaulZitoYT,True,False,Portuguese,2nd Dec 2018,82251,3000695,1342,34.5,Fortnite,Fall Guys,
이춘향 (leechunhyang),True,False,Korean,31st Oct 2016,152263,5895006,3262,8.8,Just Chatting,Lost Ark Online,Dead by Daylight
ziGueira,True,False,Portuguese,15th Jul 2012,536415,14309638,5106,7.3,Call of Duty: Modern Warfare,Automobilista 2,Hyper Scape
allkeyshop_tv,True,False,English,25th Feb 2018,67904,110336446,1319,18.3,Just Chatting,,
Brawlhalla,True,False,English,16th Nov 2014,571575,6325948,9359,3.1,Brawlhalla,,
KendineMuzisyen,True,True,Turkish,6th Jan 2015,1395554,47366096,12133,5.0,Just Chatting,Fall Guys,Streamer Life Simulator
ESL_DOTA2,True,False,English,27th Sep 2012,342833,65940297,2165,7.5,Dota 2,,
FENGRUSH,True,False,English,23rd Jun 2015,96166,76278408,6014,7.7,The Elder Scrolls Online,New World,Fall Guys
WARDELL,True,True,English,21st Aug 2015,337448,6341941,6320,3.3,VALORANT,Fall Guys,Tom Clancy
ClintStevens,True,False,English,25th Mar 2015,403603,15462833,8246,5.3,Fall Guys,Among Us,Super Mario 64
ShivFPS,True,False,English,30th Jun 2016,251888,8764408,3428,7.1,Apex Legends,Call of Duty: Modern Warfare,VALORANT
Hayashii,True,True,Portuguese,17th Mar 2012,205936,4909690,5968,4.9,Just Chatting,Fall Guys,Call of Duty: Black Ops III
CDNThe3rd,True,False,English,6th Aug 2010,2008443,56746765,3413,9.7,Factorio,Just Chatting,They Are Billions
its_iron,True,True,English,23rd Jan 2019,79470,965983,3154,18.3,Call of Duty: Modern Warfare,,
김진우 (jinu6734),True,False,Korean,11th Aug 2016,277457,20965840,5030,7.0,MapleStory,Terraria,Fall Guys
moistcr1tikal,True,False,English,14th Aug 2016,1204230,11906273,5754,4.5,Just Chatting,Fall Guys,Batman: Arkham Knight
Arcadum,True,False,English,19th Nov 2011,127502,3886437,4159,6.1,Dungeons & Dragons,VRChat,Just Chatting
쌍베 (pacific8815),True,False,Korean,5th Feb 2015,173627,25915232,4908,6.0,League of Legends,Just Chatting,Lost Ark Online
ELoTRiX,True,True,German,7th May 2013,916100,19623644,6192,7.0,Call of Duty: Modern Warfare,Just Chatting,Call of Duty: Black Ops 4
NBA2KLeague,True,False,English,28th Mar 2018,145928,137178044,13811,5.2,NBA 2K20,,
JesusAVGN,True,False,Russian,16th Aug 2012,686491,38511394,5450,5.6,Just Chatting,Fall Guys,Games + Demos
ClassyBeef,False,True,English,19th Dec 2018,110179,7547422,2595,13.1,Slots,,
H2P_Gucio,True,False,Polish,16th Oct 2012,221793,31648974,4065,8.2,Scrutinized,My Summer Car,Fall Guys
TheRealzBlueWater,True,False,English,14th May 2014,21897,165771,1649,17.8,VALORANT,Fall Guys,Just Chatting
Tumblurr,True,False,Italian,23rd Dec 2014,368778,5158310,6194,5.2,Fall Guys,Just Chatting,Olympic Games Tokyo 2020: The Official Video Game
carry_game,True,False,Chinese,11th Mar 2020,38342,1858914,8250,5.1,League of Legends,Hearthstone,
木棉花官方頻道 (muse_tw),True,True,Chinese,29th Jul 2019,121206,13875309,1136,47.5,Unlisted on Twitch,Just Chatting,夢三國
Scarra,True,False,English,7th May 2011,1253144,93585591,4666,5.5,VALORANT,Fall Guys,Teamfight Tactics
natalan,True,True,Spanish,6th Jan 2018,553005,3321683,4524,6.3,Just Chatting,Fall Guys,Secret Neighbor
狂暴小建 (a541021),True,False,Chinese,3rd Oct 2011,207942,62684496,3590,7.0,Grand Theft Auto V,Hearthstone,VALORANT
Jahrein,True,False,Turkish,9th Jun 2009,1430289,67066173,8966,5.6,Just Chatting,Conqueror,Fall Guys
CasinoDaddy,False,True,English,8th Apr 2016,151938,19577732,1871,12.9,Slots,,
ALOHADANCETV,True,True,Russian,24th Jul 2013,556852,72426676,3634,5.6,Fall Guys,Poker,Doom Eternal
嬌兔 (zrush),True,True,Chinese,27th Aug 2010,181633,36852242,4191,6.9,Just Chatting,Dead by Daylight,Sword Art Online: Alicization Lycoris 
Nmplol,True,False,English,19th Apr 2011,462998,20782131,8591,3.6,Just Chatting,Minecraft,Fall Guys
EWROON,True,False,Polish,8th Feb 2015,523021,27871107,6354,4.3,Minecraft,Among Us,Fortnite
Distortion2,True,True,English,20th Sep 2012,317484,22205423,2640,10.2,The Witcher 3: Wild Hunt,Fall Guys,Mortal Shell
Nattank,True,True,Portuguese,16th Sep 2016,88674,9661928,2831,10.2,Tibia,New World,Fall Guys
SuperMCGamer,True,True,English,10th Mar 2011,91491,59723056,2130,9.5,The Legend of Zelda: Ocarina of Time,Super Mario 64,Music
alexelcapo,True,False,Spanish,12th Sep 2012,684103,40429936,9771,2.8,Minecraft,Blasphemous,Fall Guys
SummonersInnLive,True,False,German,15th Feb 2013,505962,135466587,8997,5.0,League of Legends,Teamfight Tactics,
UberHaxorNova,True,False,English,27th Jun 2009,422535,18612865,2723,11.8,Rust,Grand Theft Auto V,Fall Guys
살인마협회장 (sal_gu),True,False,Korean,25th Jun 2016,169289,16008988,4876,6.7,Dead by Daylight,Just Chatting,Fall Guys
AustinShow,True,True,English,9th Feb 2013,856913,32087646,22824,4.4,Just Chatting,Microsoft Flight Simulator,
Steelmage,True,False,English,20th Feb 2014,64218,8731005,2322,11.1,Path of Exile,,
pijack11,True,True,Portuguese,12th Sep 2013,265534,11090902,2847,9.1,League of Legends,Just Chatting,Among Us
SkipNhO,True,False,Portuguese,2nd Jun 2014,1084185,61569219,3650,7.1,Call of Duty: Modern Warfare,New World,Just Chatting
UnknownxArmy,True,False,English,28th Dec 2018,907947,12348077,5856,3.4,Fortnite,Just Chatting,Fall Guys
老皮 (mobilmobil),True,True,Chinese,4th Apr 2012,447112,102809570,5528,4.0,Talk Shows & Podcasts,Outer Wilds,Tekken 7
coscu,True,False,Spanish,26th Sep 2012,1924884,40893774,21536,7.0,League of Legends,Just Chatting,Among Us
LosPollosTV,True,False,English,22nd Apr 2014,479217,14428695,8430,3.9,Just Chatting,NBA 2K20,Fall Guys
Shlorox,True,False,German,26th Feb 2013,332554,36883079,4530,5.9,Grand Theft Auto V,Just Chatting,Microsoft Flight Simulator
